Timestamp,How often do you use your smartwatch for the following reasons? [Fitness],How often do you use your smartwatch for the following reasons? [Communication],How often do you use your smartwatch for the following reasons? [Convenience],How often do you use your smartwatch for the following reasons? [Style/ Fashion],How often do you use your smartwatch for the following reasons? [Other],Please indicate your level of agreement to the following questions.  [I have a good understanding of the information that my smartwatch collects about me.],What types of data does your smartwatch collect about you?,Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [my location.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [my sleep.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [information about my heart.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [my audio data.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [and share data with third-parties.],"Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Steps]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Distance Traveled]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [GPS location]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Calories]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Sleep time]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Sleep quality]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Physical exertion]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Heart rate]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [EKG]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Breath Rate]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Blood Oxygen]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Call/ Text data]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Notifications]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Driving data]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Audio data]",Have you personally made manual changes to your smartwatchs data privacy settings?,Do you have concerns about privacy issues regarding your device? ,Do you trust your smartwatch manufacturer with your personal data?,Would you now modify your current privacy settings or change the way you use your smartwatch?
0,Sometimes,Often,Sometimes,Often,Sometimes,Agree,"Location, Heart Rate",Always,Often,Always,Sometimes,Always,Comfortable,Comfortable,Somewhat concerned,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Concerned,No,No,Yes,Yes
1,Often,Never,Sometimes,Sometimes,Never,Agree,"Location, Heart rate, audio",Often,Always,Never,Infrequently,Always,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neither comfortable or concered,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Yes,Yes,Yes,No
2,Never,Always,Sometimes,Infrequently,Never,Agree,Heart rate,Often,Often,Always,Infrequently,Never,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Somewhat concerned,Neither comfortable or concered,Concerned,No,No,Yes,No
3,Always,Often,Often,Always,Never,Agree,Fitness,Always,Always,Always,Sometimes,Always,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,No,No,No,Yes
4,Always,Always,Often,Often,Often,Agree,"Fitness, location ",Always,Always,Always,Always,Often,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Somewhat comfortable,Comfortable,Somewhat concerned,No,No,Yes,No
5,Often,Sometimes,Often,Often,Infrequently,Strongly Disagree,not sure,Often,Often,Sometimes,Often,Often,Somewhat comfortable,Somewhat comfortable,Somewhat concerned,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,No,Yes,No,Yes
6,Sometimes,Always,Always,Often,Sometimes,Strongly Disagree,"Iâ€™m unsure but mostly data about fitness and health such as how many steps, how many calories burned, and my heart rate. ",Sometimes,Sometimes,Often,Sometimes,Sometimes,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,No,Yes,No,No
7,Never,Never,Never,Never,Never,Strongly Agree,none no tengo smartwatch,Never,Never,Never,Never,Never,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,No,No,No,No
8,Never,Never,Never,Never,Never,Disagree,I Do Not Use a Smartwatch,Often,Often,Often,Often,Often,Neither comfortable or concered,Neither comfortable or concered,Concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Concerned,Somewhat concerned,Concerned,Concerned,No,Yes,No,Yes
9,Always,Sometimes,Often,Infrequently,Sometimes,Agree,"Health data(heart rate, O2, etc) , GPS/location, contacts ",Always,Always,Always,Often,Sometimes,Comfortable,Comfortable,Neither comfortable or concered,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,Yes,Yes,No,Yes
10,Always,Often,Often,Sometimes,Sometimes,Strongly Agree,Anything/everything I do,Always,Sometimes,Always,Always,Often,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,No,Yes,No,No
11,Always,Sometimes,Sometimes,Never,Always,Neither Agree or Disagree,"Health Data (Heart rate, calories, stand hours, breathing, weight, walking pace, stride length, sleep data). Location Data. Communication data (notifications, calls, texts)",Always,Always,Always,Always,Infrequently,Comfortable,Comfortable,Somewhat concerned,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Neither comfortable or concered,Neither comfortable or concered,Concerned,Yes,Yes,Yes,Yes
12,Sometimes,Often,Often,Infrequently,Infrequently,Agree," long-term physiological and activity data (steps, distanced traveled, calories burned, sleep)",Often,Often,Often,Infrequently,Often,Comfortable,Comfortable,Somewhat concerned,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Somewhat concerned,Neither comfortable or concered,Concerned,No,Yes,No,Yes
13,Often,Always,Often,Sometimes,Infrequently,Disagree,"Locations, preferences, activities, health, shopping, news, contacts",Always,Sometimes,Always,Always,Always,Comfortable,Comfortable,Somewhat concerned,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Comfortable,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Concerned,Concerned,Somewhat concerned,Somewhat concerned,Yes,Yes,No,Yes
14,Sometimes,Infrequently,Sometimes,Infrequently,Never,Disagree,"Location, health, contacts",Always,Never,Often,Often,Infrequently,Somewhat concerned,Neither comfortable or concered,Concerned,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Concerned,Concerned,Concerned,Concerned,Yes,Yes,No,Yes
15,Often,Sometimes,Always,Often,Sometimes,Agree,"Steps taken per day, calories burned, heart rate, biometrics",Always,Often,Often,Infrequently,Sometimes,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,No,No,No,Yes
16,Often,Sometimes,Sometimes,Infrequently,Never,Agree,Heart rate,Sometimes,Often,Always,Infrequently,Infrequently,Comfortable,Somewhat comfortable,Somewhat concerned,Comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat comfortable,Somewhat concerned,Somewhat concerned,No,Yes,No,Yes
17,Never,Infrequently,Sometimes,Never,Never,Agree,"heart rate, location",Always,Often,Always,Sometimes,Sometimes,Comfortable,Comfortable,Neither comfortable or concered,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Somewhat comfortable,Neither comfortable or concered,No,No,Yes,No
18,Infrequently,Never,Infrequently,Never,Never,Strongly Disagree,,Sometimes,Often,Often,Never,Sometimes,Neither comfortable or concered,Neither comfortable or concered,Concerned,Neither comfortable or concered,Somewhat concerned,Concerned,Concerned,Somewhat concerned,Concerned,Concerned,Concerned,Concerned,Concerned,Somewhat concerned,Concerned,No,Yes,No,No
19,Sometimes,Sometimes,Sometimes,Infrequently,Never,Disagree,Normally health data steps etc,Often,Often,Often,Often,Sometimes,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat comfortable,No,Yes,No,No
20,Never,Often,Sometimes,Sometimes,Infrequently,Agree,My fitness,Infrequently,Sometimes,Infrequently,Sometimes,Sometimes,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,No,Yes,No,Yes
21,Never,Often,Often,Sometimes,Never,Disagree,My health,Always,Sometimes,Always,Sometimes,Sometimes,Comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Neither comfortable or concered,Somewhat comfortable,Somewhat comfortable,No,Yes,No,Yes
22,Often,Sometimes,Often,Infrequently,Often,Agree,"Heart rate, movement, location, sleep, stress",Often,Always,Always,Sometimes,Sometimes,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Somewhat comfortable,Somewhat concerned,No,Yes,No,Yes
23,Always,Often,Infrequently,Infrequently,Sometimes,Neither Agree or Disagree,"Biometrics, sleep cycle, habits, location, overall degree of health ",Always,Always,Always,Often,Often,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Concerned,No,Yes,No,Yes
24,Always,Often,Often,Never,Often,Agree,"Location, activity, heart rate, fitness level, whom you communicate with",Always,Often,Always,Always,Always,Comfortable,Comfortable,Somewhat concerned,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Comfortable,Somewhat concerned,Somewhat concerned,No,Yes,No,No
25,Often,Often,Always,Infrequently,Sometimes,Agree,"To my knowledge, it collects data about my peak exercise time as well as other personal data like banking, messages, and location.",Always,Always,Always,Often,Always,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Yes,No,Yes,No
26,Sometimes,Sometimes,Sometimes,Infrequently,Sometimes,Neither Agree or Disagree,"Most likely everything- where I am, activities, purchases, conversations",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Yes,Yes,No,No
27,Sometimes,Infrequently,Sometimes,Never,Never,Neither Agree or Disagree,Heart rate sleeping patterns,Often,Often,Often,Often,Often,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Concerned,Neither comfortable or concered,Comfortable,Somewhat comfortable,Yes,Yes,Yes,No
28,Sometimes,Sometimes,Sometimes,Infrequently,Sometimes,Neither Agree or Disagree,Fitness and location ,Often,Never,Sometimes,Sometimes,Sometimes,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Yes,Yes,No,Yes
29,Never,Never,Never,Never,Never,Strongly Disagree,,Always,Sometimes,Sometimes,Always,Always,Somewhat comfortable,Somewhat comfortable,Somewhat concerned,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,No,Yes,No,Yes
30,Never,Never,Never,Never,Never,Neither Agree or Disagree,Increased heartrate at 2am because you know what time it is,Always,Always,Always,Always,Always,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Concerned,Concerned,Neither comfortable or concered,Concerned,No,Yes,No,Yes
31,Always,Often,Always,Never,Never,Strongly Disagree,"Activity level, heart rate and yikes location.",Always,Never,Always,Never,Never,Comfortable,Comfortable,Somewhat concerned,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Comfortable,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Somewhat concerned,Comfortable,Somewhat concerned,Neither comfortable or concered,Yes,Yes,No,Yes
32,Often,Often,Often,Infrequently,Sometimes,Agree,"Health Biometrics, Keeps track of calls and messages, Tracks location",Always,Often,Often,Infrequently,Sometimes,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,No,No,Yes,Yes
33,Never,Never,Never,Never,Never,Neither Agree or Disagree,None ,Sometimes,Infrequently,Infrequently,Often,Never,Somewhat comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Concerned,Concerned,Somewhat concerned,Concerned,Concerned,Concerned,Concerned,Somewhat comfortable,Somewhat comfortable,Somewhat concerned,Neither comfortable or concered,No,No,Yes,No
34,Sometimes,Often,Always,Sometimes,Infrequently,Disagree,"Location, usage (e.g. how often, which apps), movement, physiological data (heart rate etc)",Often,Often,Always,Always,Often,Somewhat concerned,Somewhat concerned,Concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Concerned,Somewhat concerned,Concerned,Concerned,No,Yes,No,Yes
35,Always,Often,Often,Infrequently,Sometimes,Disagree,"Fitness data like steps, heart rate, location data",Always,Always,Always,Infrequently,Infrequently,Comfortable,Somewhat concerned,Somewhat concerned,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Concerned,Concerned,Concerned,Concerned,No,Yes,No,Yes
36,Often,Infrequently,Sometimes,Never,Never,Strongly Disagree,Have no idea,Sometimes,Never,Always,Sometimes,Infrequently,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,No,No,No,No
37,Sometimes,Often,Often,Sometimes,Sometimes,Disagree,"Usage, location",Sometimes,Infrequently,Infrequently,Sometimes,Sometimes,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,No,No,No,Yes
38,Often,Infrequently,Often,Never,Sometimes,Agree,"movement, cardiovascular stats and sleep",Always,Always,Always,Sometimes,Infrequently,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Comfortable,Neither comfortable or concered,Somewhat concerned,Yes,No,Yes,Yes
39,Often,Sometimes,Always,Often,Sometimes,Disagree,Personal health,Often,Sometimes,Always,Often,Sometimes,Comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Yes,Yes,No,Yes
40,Never,Sometimes,Always,Sometimes,Sometimes,Neither Agree or Disagree,"Location, contacts, texts, apps, frequent places, top friends, photos, probably knows a lot",Always,Sometimes,Often,Always,Sometimes,Neither comfortable or concered,Neither comfortable or concered,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Yes,Yes,No,Yes
41,Sometimes,Sometimes,Infrequently,Sometimes,Sometimes,Agree,,Infrequently,Sometimes,Sometimes,Infrequently,Infrequently,Somewhat comfortable,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Neither comfortable or concered,Comfortable,Somewhat comfortable,Neither comfortable or concered,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,No,Yes,No,No
42,Always,Often,Always,Always,Always,Strongly Agree,Sleep Pattern,Often,Always,Always,Always,Always,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Yes,Yes,No,No
43,Often,Sometimes,Sometimes,Often,Never,Agree,Location heart rate respiratory rate time of use ,Always,Sometimes,Always,Always,Always,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Concerned,No,Yes,No,Yes
44,Infrequently,Sometimes,Often,Always,Sometimes,Disagree,,Sometimes,Always,Often,Sometimes,Always,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Neither comfortable or concered,Somewhat concerned,No,Yes,No,Yes
45,Infrequently,Sometimes,Always,Always,Always,Disagree,"biometrics, location",Always,Often,Always,Never,Never,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Concerned,No,Yes,No,Yes
